Id,SalePrice
1461,119307.56
1462,157338.28
1463,190321.81
1464,188064.67
1465,195284.08
1466,175170.16
1467,174390.56
1468,165137.8
1469,188241.78
1470,123360.77
1471,199140.86
1472,94108.945
1473,97300.53
1474,155576.88
1475,123742.66
1476,386953.78
1477,253622.56
1478,273648.88
1479,274767.3
1480,506562.78
1481,327212.78
1482,207490.47
1483,170709.22
1484,166526.52
1485,176580.73
1486,195271.22
1487,323182.03
1488,233616.55
1489,197992.9
1490,213124.44
1491,191000.95
1492,93213.84
1493,169168.14
1494,294639.88
1495,290861.94
1496,233734.66
1497,180969.72
1498,159290.0
1499,155632.08
1500,146706.97
1501,168823.89
1502,141342.28
1503,299745.38
1504,240905.06
1505,220440.72
1506,183779.28
1507,258498.58
1508,207653.6
1509,160876.2
1510,143457.39
1511,150384.25
1512,170833.33
1513,135918.81
1514,150228.02
1515,199820.78
1516,154921.12
1517,162612.45
1518,135115.2
1519,225416.03
1520,134414.38
1521,138390.25
1522,170138.42
1523,115017.5
1524,124975.125
1525,124032.71
1526,108134.336
1527,103138.58
1528,134238.61
1529,149394.64
1530,170343.64
1531,103461.91
1532,98374.47
1533,146006.56
1534,127343.96
1535,156321.1
1536,107427.16
1537,57530.984
1538,152198.31
1539,186134.75
1540,91891.29
1541,142298.23
1542,140169.73
1543,209507.7
1544,78141.305
1545,105969.92
1546,126327.05
1547,135620.62
1548,135916.88
1549,110552.78
1550,134008.89
1551,116110.016
1552,123848.086
1553,142001.75
1554,107665.82
1555,163280.36
1556,82863.55
1557,109842.14
1558,96261.26
1559,77810.086
1560,133488.34
1561,135079.25
1562,129894.01
1563,121965.195
1564,168629.98
1565,141096.62
1566,240299.52
1567,73701.31
1568,223083.88
1569,135478.69
1570,141897.64
1571,124491.92
1572,150172.44
1573,255156.55
1574,104610.84
1575,220347.19
1576,231871.7
1577,187783.66
1578,146596.19
1579,149617.5
1580,197957.22
1581,148615.92
1582,125038.91
1583,326689.25
1584,225373.69
1585,142678.03
1586,74042.01
1587,93991.17
1588,149146.94
1589,99526.305
1590,137709.86
1591,96765.75
1592,120156.53
1593,120848.47
1594,123569.42
1595,110054.055
1596,237714.75
1597,185377.97
1598,211068.36
1599,180630.22
1600,175922.17
1601,66038.234
1602,114270.09
1603,72372.69
1604,270640.84
1605,252087.69
1606,166160.86
1607,172036.8
1608,209952.53
1609,188666.11
1610,147699.06
1611,139095.23
1612,165623.27
1613,163022.53
1614,126781.695
1615,88079.41
1616,73041.19
1617,92142.36
1618,127352.945
1619,143707.97
1620,160884.19
1621,139304.58
1622,145390.31
1623,281801.47
1624,216130.81
1625,126662.66
1626,156455.17
1627,187662.1
1628,279645.53
1629,178474.73
1630,359238.72
1631,222637.12
1632,241210.34
1633,165536.73
1634,185794.78
1635,175808.12
1636,153482.02
1637,199458.84
1638,187263.95
1639,177437.62
1640,264028.25
1641,175077.12
1642,227617.95
1643,221878.31
1644,231947.34
1645,199137.06
1646,156637.02
1647,160337.52
1648,127244.77
1649,134134.95
1650,110793.43
1651,124967.375
1652,96589.27
1653,97624.83
1654,150144.8
1655,153418.66
1656,147344.94
1657,149347.62
1658,144641.02
1659,131760.5
1660,151404.97
1661,472046.8
1662,421091.28
1663,405017.44
1664,493153.0
1665,309386.3
1666,326208.88
1667,377900.25
1668,335544.44
1669,292859.3
1670,359610.62
1671,259000.75
1672,446224.72
1673,290575.25
1674,240487.28
1675,186118.06
1676,182957.55
1677,216903.48
1678,475905.7
1679,392101.72
1680,360542.62
1681,252748.0
1682,303038.44
1683,174058.92
1684,175127.55
1685,173124.55
1686,174248.42
1687,166812.62
1688,189649.44
1689,195551.69
1690,195812.22
1691,177925.47
1692,262816.12
1693,163653.56
1694,181465.56
1695,166093.52
1696,275118.7
1697,171205.52
1698,364091.2
1699,314143.7
1700,245202.19
1701,266372.78
1702,249569.08
1703,244637.64
1704,287569.8
1705,230913.98
1706,425587.56
1707,211856.67
1708,198632.34
1709,283535.38
1710,218807.42
1711,253353.48
1712,269572.1
1713,262615.7
1714,218645.14
1715,198969.81
1716,187128.1
1717,173940.77
1718,131730.84
1719,199054.66
1720,252625.34
1721,173160.55
1722,126541.07
1723,158371.0
1724,211221.8
1725,238673.81
1726,183022.81
1727,156276.23
1728,187125.95
1729,159884.31
1730,160823.6
1731,118473.29
1732,128877.016
1733,117871.59
1734,120399.484
1735,132102.23
1736,112922.97
1737,323128.4
1738,226443.16
1739,261891.38
1740,217998.23
1741,185136.1
1742,166143.27
1743,170300.11
1744,297882.53
1745,219623.81
1746,183203.9
1747,217825.95
1748,234245.45
1749,145909.81
1750,125597.87
1751,252460.6
1752,120340.59
1753,144427.38
1754,194367.34
1755,162762.02
1756,130439.59
1757,121906.586
1758,144003.62
1759,163043.69
1760,161301.28
1761,140806.94
1762,170070.61
1763,171869.38
1764,112805.1
1765,152074.69
1766,173188.95
1767,218396.94
1768,144809.69
1769,176768.44
1770,144567.23
1771,124230.29
1772,134351.45
1773,129938.37
1774,134549.3
1775,134254.61
1776,127270.625
1777,109733.05
1778,135718.7
1779,110799.14
1780,181823.1
1781,129514.26
1782,88433.67
1783,140407.34
1784,101787.08
1785,121945.195
1786,120987.31
1787,169172.34
1788,55244.984
1789,97017.17
1790,75572.33
1791,174957.78
1792,161658.56
1793,132602.95
1794,145133.89
1795,134296.48
1796,118662.58
1797,116891.41
1798,125104.87
1799,111469.5
1800,131539.78
1801,132141.92
1802,130433.25
1803,144943.84
1804,144958.22
1805,140037.05
1806,123530.06
1807,130145.23
1808,116780.54
1809,115417.24
1810,138906.19
1811,96436.945
1812,99786.72
1813,121496.53
1814,92106.16
1815,54911.746
1816,94322.25
1817,103230.984
1818,141200.4
1819,120249.734
1820,52378.92
1821,109828.31
1822,146000.86
1823,45996.9
1824,130965.36
1825,130337.01
1826,99134.98
1827,101093.73
1828,134455.39
1829,106140.75
1830,141663.19
1831,147473.86
1832,86668.125
1833,137998.16
1834,119095.44
1835,122475.26
1836,128400.03
1837,90076.81
1838,125024.48
1839,86193.1
1840,141225.6
1841,138332.06
1842,79159.9
1843,125754.88
1844,130921.65
1845,132768.08
1846,152642.97
1847,157455.52
1848,56240.938
1849,110378.95
1850,115287.984
1851,157679.12
1852,127344.93
1853,129737.52
1854,170606.53
1855,146704.72
1856,224058.7
1857,159749.12
1858,141407.94
1859,113085.805
1860,148756.86
1861,113126.69
1862,305594.4
1863,305946.38
1864,305946.38
1865,329680.75
1866,346820.03
1867,239441.22
1868,317874.94
1869,210695.1
1870,239824.92
1871,246809.03
1872,165722.33
1873,243604.88
1874,147950.56
1875,204171.56
1876,194044.69
1877,208046.27
1878,195985.22
1879,128335.64
1880,134657.12
1881,247134.06
1882,253301.8
1883,190709.19
1884,203322.05
1885,257688.53
1886,310313.6
1887,201678.8
1888,282776.03
1889,159338.0
1890,120784.984
1891,133089.58
1892,105636.44
1893,131611.55
1894,122468.95
1895,137257.89
1896,129916.43
1897,116473.336
1898,109883.11
1899,149126.31
1900,146754.4
1901,168554.58
